Sample_ID,Age,Strain,Phenotype
X20_AKF_8733_2,20 Weeks,AJ,KO
X20_AKF_8738_1,20 Weeks,AJ,KO
X20_AKF_8738_2,20 Weeks,AJ,KO
X20_AKF_8802_1,20 Weeks,AJ,KO
X20_AKF_8802_2,20 Weeks,AJ,KO
X20_AKM_8768_1,20 Weeks,AJ,KO
X20_AKM_8768_2,20 Weeks,AJ,KO
X20_AKM_8769_1,20 Weeks,AJ,KO
X20_AKM_8769_2,20 Weeks,AJ,KO
X20_AKM_8771_1,20 Weeks,AJ,KO
X20_AKM_8771_2,20 Weeks,AJ,KO
X20_AWF_8736_1,20 Weeks,AJ,WT
X20_AWF_8736_2,20 Weeks,AJ,WT
X20_AWF_8797_1,20 Weeks,AJ,WT
X20_AWF_8797_2,20 Weeks,AJ,WT
X20_AWF_9005_1,20 Weeks,AJ,WT
X20_AWF_9005_2,20 Weeks,AJ,WT
X20_AWM_8728_1,20 Weeks,AJ,WT
X20_AWM_8728_2,20 Weeks,AJ,WT
X20_AWM_8730_1,20 Weeks,AJ,WT
X20_AWM_8730_2,20 Weeks,AJ,WT
X20_AWM_8766_1,20 Weeks,AJ,WT
X20_AWM_8766_2,20 Weeks,AJ,WT
X20_BKF_8726_1,20 Weeks,B6,KO
X20_BKF_8726_2,20 Weeks,B6,KO
X20_BKF_8926_1,20 Weeks,B6,KO
X20_BKF_8926_2,20 Weeks,B6,KO
X20_BKF_8927_1,20 Weeks,B6,KO
X20_BKF_8927_2,20 Weeks,B6,KO
X20_BKM_8719_1,20 Weeks,B6,KO
X20_BKM_8719_2,20 Weeks,B6,KO
X20_BKM_8859_1,20 Weeks,B6,KO
X20_BKM_8859_2,20 Weeks,B6,KO
X20_BKM_8860_1,20 Weeks,B6,KO
X20_BKM_8860_2,20 Weeks,B6,KO
X20_BWF_8754_1,20 Weeks,B6,WT
X20_BWF_8754_2,20 Weeks,B6,WT
X20_BWF_8755_1,20 Weeks,B6,WT
X20_BWF_8755_2,20 Weeks,B6,WT
X20_BWF_8852_1,20 Weeks,B6,WT
X20_BWF_8852_2,20 Weeks,B6,WT
X20_BWM_8745_1,20 Weeks,B6,WT
X20_BWM_8745_2,20 Weeks,B6,WT
X20_BWM_8747_1,20 Weeks,B6,WT
X20_BWM_8747_2,20 Weeks,B6,WT
X20_BWM_8847_1,20 Weeks,B6,WT
X20_BWM_8847_2,20 Weeks,B6,WT
X8_AKF_8733_1,8 Weeks,AJ,KO
X8_AKF_8733_2,8 Weeks,AJ,KO
X8_AKF_8738_1,8 Weeks,AJ,KO
X8_AKF_8738_2,8 Weeks,AJ,KO
X8_AKF_8802_1,8 Weeks,AJ,KO
X8_AKM_8768_1,8 Weeks,AJ,KO
X8_AKM_8768_2,8 Weeks,AJ,KO
X8_AKM_8769_1,8 Weeks,AJ,KO
X8_AKM_8769_2,8 Weeks,AJ,KO
X8_AKM_8771_1,8 Weeks,AJ,KO
X8_AKM_8771_2,8 Weeks,AJ,KO
X8_AWF_8736_1,8 Weeks,AJ,WT
X8_AWF_8736_2,8 Weeks,AJ,WT
X8_AWF_8797_1,8 Weeks,AJ,WT
X8_AWF_9005_1,8 Weeks,AJ,WT
X8_AWF_9005_2,8 Weeks,AJ,WT
X8_AWM_8728_1,8 Weeks,AJ,WT
X8_AWM_8728_2,8 Weeks,AJ,WT
X8_AWM_8730_1,8 Weeks,AJ,WT
X8_AWM_8730_2,8 Weeks,AJ,WT
X8_AWM_8766_1,8 Weeks,AJ,WT
X8_AWM_8766_2,8 Weeks,AJ,WT
X8_BKF_8726_1,8 Weeks,B6,KO
X8_BKF_8726_2,8 Weeks,B6,KO
X8_BKF_8926_1,8 Weeks,B6,KO
X8_BKF_8926_2,8 Weeks,B6,KO
X8_BKF_8927_1,8 Weeks,B6,KO
X8_BKM_8719_1,8 Weeks,B6,KO
X8_BKM_8719_2,8 Weeks,B6,KO
X8_BKM_8859_1,8 Weeks,B6,KO
X8_BKM_8859_2,8 Weeks,B6,KO
X8_BKM_8860_1,8 Weeks,B6,KO
X8_BKM_8860_2,8 Weeks,B6,KO
X8_BWF_8754_1,8 Weeks,B6,WT
X8_BWF_8754_2,8 Weeks,B6,WT
X8_BWF_8755_1,8 Weeks,B6,WT
X8_BWF_8852_1,8 Weeks,B6,WT
X8_BWF_8852_2,8 Weeks,B6,WT
X8_BWM_8745_1,8 Weeks,B6,WT
X8_BWM_8745_2,8 Weeks,B6,WT
X8_BWM_8747_1,8 Weeks,B6,WT
X8_BWM_8747_2,8 Weeks,B6,WT
X8_BWM_8847_1,8 Weeks,B6,WT
X8_BWM_8847_2,8 Weeks,B6,WT
