taxlevel,rankID,,daughterlevels,total,taxon,20_AKF_8733_2,20_AKF_8738_1,20_AKF_8738_2,20_AKF_8802_1,20_AKF_8802_2,20_AKM_8768_1,20_AKM_8768_2,20_AKM_8769_1,20_AKM_8769_2,20_AKM_8771_1,20_AKM_8771_2,20_AWF_8736_1,20_AWF_8736_2,20_AWF_8797_1,20_AWF_8797_2,20_AWF_9005_1,20_AWF_9005_2,20_AWM_8728_1,20_AWM_8728_2,20_AWM_8730_1,20_AWM_8730_2,20_AWM_8766_1,20_AWM_8766_2,20_BKF_8726_1,20_BKF_8726_2,20_BKF_8926_1,20_BKF_8926_2,20_BKF_8927_1,20_BKF_8927_2,20_BKM_8719_1,20_BKM_8719_2,20_BKM_8859_1,20_BKM_8859_2,20_BKM_8860_1,20_BKM_8860_2,20_BWF_8754_1,20_BWF_8754_2,20_BWF_8755_1,20_BWF_8755_2,20_BWF_8852_1,20_BWF_8852_2,20_BWM_8745_1,20_BWM_8745_2,20_BWM_8747_1,20_BWM_8747_2,20_BWM_8847_1,20_BWM_8847_2,8_AKF_8733_1,8_AKF_8733_2,8_AKF_8738_1,8_AKF_8738_2,8_AKF_8802_1,8_AKM_8768_1,8_AKM_8768_2,8_AKM_8769_1,8_AKM_8769_2,8_AKM_8771_1,8_AKM_8771_2,8_AWF_8736_1,8_AWF_8736_2,8_AWF_8797_1,8_AWF_9005_1,8_AWF_9005_2,8_AWM_8728_1,8_AWM_8728_2,8_AWM_8730_1,8_AWM_8730_2,8_AWM_8766_1,8_AWM_8766_2,8_BKF_8726_1,8_BKF_8726_2,8_BKF_8926_1,8_BKF_8926_2,8_BKF_8927_1,8_BKM_8719_1,8_BKM_8719_2,8_BKM_8859_1,8_BKM_8859_2,8_BKM_8860_1,8_BKM_8860_2,8_BWF_8754_1,8_BWF_8754_2,8_BWF_8755_1,8_BWF_8852_1,8_BWF_8852_2,8_BWM_8745_1,8_BWM_8745_2,8_BWM_8747_1,8_BWM_8747_2,8_BWM_8847_1,8_BWM_8847_2,DNA_control,Negative_control,Positive_control,Water_control
0,0,,2,492498,Root,4969,6320,5706,8133,6758,5500,7122,4658,6461,7109,7873,4612,4746,4864,4286,4498,4971,4636,4951,4530,4114,5132,3858,5090,4157,4122,5185,5778,5675,5355,4894,4474,5180,6601,3709,3958,5945,4572,8161,4222,3966,6571,4198,5042,4617,4820,5269,5151,4763,5068,5128,6320,5329,6178,5032,3980,4874,4321,4542,5319,5711,5564,4166,4365,4770,6010,5090,5072,4288,5252,4749,5453,5663,4186,4744,5302,5393,35,5298,6178,5573,7665,4817,4712,4941,6919,5662,4376,5663,6716,5242,7831,73,6671,7
1,0.1,,21,490966,Bacteria,4908,6315,5705,8108,6749,5495,7120,4655,6427,7104,7867,4601,4739,4844,4283,4464,4935,4629,4946,4518,4082,5109,3846,5047,4148,4104,5170,5758,5649,5346,4876,4458,5168,6579,3702,3949,5932,4558,8146,4214,3961,6559,4184,5035,4598,4811,5254,5142,4755,5048,5112,6308,5317,6176,5014,3975,4856,4309,4530,5314,5688,5534,4161,4356,4757,6003,5066,5029,4283,5232,4734,5427,5656,4147,4725,5294,5381,35,5275,6153,5558,7555,4809,4700,4928,6894,5643,4360,5619,6703,5217,7826,73,6669,4
2,0.1.1,,2,6,Acidobacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.1.1.1,,1,5,Acidobacteriia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.1.1.1.1,,1,5,Acidobacteriales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.1.1.1.1.1,,4,5,Acidobacteriaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.1.1.1.1.1.1,,1,2,Acidobacteriaceae_unclassified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.1.1.1.1.1.1.1,,1,2,Acidobacteriaceae_unclassified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.1.1.1.1.1.1.1.1,,0,2,Acidobacteriaceae_unclassified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.1.1.1.1.1.2,,1,1,Acidobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
